date,uniqueID,max,min,humidity,steps
10/20/2020,Noah,91,75.2,43,3344
10/21/2020,Noah,91,73.4,45,1705
10/22/2020,Noah,91,73,78,143
10/23/2020,Noah,84.9,57,82,167
10/24/2020,Noah,66.9,53.1,0,8960
10/25/2020,Noah,86,55,70,2296
10/26/2020,Noah,82,45,90,267
10/27/2020,Noah,46,39.9,89,3454
10/28/2020,Noah,61,39,90,1775
10/29/2020,Noah,64,39.9,81,167
10/30/2020,Noah,73,45,62,510
10/31/2020,Noah,79,41,78,1380
11/1/2020,Noah,79,50,73,2044
11/2/2020,Noah,78.1,46.9,0,2542
11/3/2020,Noah,81,43,64,3444
11/4/2020,Noah,82,48,68,63
11/5/2020,Noah,82.9,57,86,2087
11/6/2020,Noah,80.1,64,86,3342
11/7/2020,Noah,72,59,80,708
11/8/2020,Noah,73,64,86,169
11/9/2020,Noah,85,61,83,428
11/10/2020,Noah,82,65,86,3747
11/11/2020,Noah,81,64,41,102
11/12/2020,Noah,84,58,58,89
11/13/2020,Noah,84,58,86,846
11/14/2020,Noah,84,71,80,3987
11/15/2020,Noah,73,60,63,2569
11/16/2020,Noah,76,35,57,194
10/20/2020,florezn,91,75.2,43,4000
10/21/2020,florezn,91,73.4,45,4000
10/22/2020,florezn,91,73,78,4000
10/23/2020,florezn,84.9,57,82,4000
10/24/2020,florezn,66.9,53.1,0,4000
10/25/2020,florezn,86,55,70,4000
10/26/2020,florezn,82,45,90,4000
10/27/2020,florezn,46,39.9,89,4000
10/28/2020,florezn,61,39,90,4000
10/29/2020,florezn,64,39.9,81,4000
10/30/2020,florezn,73,45,62,4000
10/31/2020,florezn,79,41,78,4000
11/1/2020,florezn,79,50,73,4000
11/2/2020,florezn,78.1,46.9,0,4000
11/3/2020,florezn,81,43,64,4000
11/4/2020,florezn,82,48,68,4000
11/5/2020,florezn,82.9,57,86,4000
11/6/2020,florezn,80.1,64,86,4000
11/7/2020,florezn,72,59,80,4000
11/8/2020,florezn,73,64,86,4000
11/9/2020,florezn,85,61,83,4000
11/10/2020,florezn,82,65,86,4000
11/11/2020,florezn,81,64,41,4000
11/12/2020,florezn,84,58,58,4000
11/13/2020,florezn,84,58,86,4000
11/14/2020,florezn,84,71,80,4000
11/15/2020,florezn,73,60,63,4000
11/16/2020,florezn,76,35,57,4000
